mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
13.43,0.932,0.174,0.002,0.183,0.04,0.224,1.421,0
13.665,0.93,0.179,0.002,0.191,0.043,0.236,1.415,0
13.41,0.944,0.165,0.002,0.147,0.037,0.186,1.404,0
13.275,0.946,0.172,0.002,0.154,0.034,0.189,1.418,0
12.95,0.951,0.148,0.002,0.136,0.031,0.169,1.41,0
13.17,0.956,0.121,0.002,0.132,0.034,0.167,1.426,0
13.455,0.937,0.182,0.002,0.172,0.039,0.213,1.428,0
13.06,0.929,0.133,0.002,0.188,0.038,0.228,1.415,0
13.57,0.945,0.15,0.002,0.156,0.036,0.194,1.46,0
13.195,0.942,0.109,0.002,0.157,0.04,0.199,1.451,0
13.205,0.943,0.115,0.002,0.162,0.037,0.202,1.462,0
13.73,0.947,0.117,0.002,0.148,0.031,0.181,1.466,0
12.88,0.934,0.126,0.002,0.166,0.039,0.208,1.474,0
13.005,0.943,0.119,0.002,0.162,0.032,0.196,1.466,0
13.485,0.944,0.159,0.002,0.149,0.037,0.189,1.478,0
12.865,0.935,0.146,0.002,0.172,0.037,0.211,1.5,0
13.37,0.947,0.176,0.002,0.139,0.033,0.174,1.53,0
13.375,0.934,0.144,0.002,0.181,0.039,0.222,1.543,0
13.605,0.944,0.194,0.002,0.148,0.033,0.182,1.552,0
13.28,0.931,0.123,0.002,0.184,0.039,0.225,1.561,0
13.1,0.947,0.139,0.002,0.146,0.035,0.183,1.55,0
13.45,0.945,0.131,0.002,0.148,0.036,0.186,1.428,0
13.62,0.946,0.143,0.002,0.155,0.032,0.189,1.426,0
13.88,0.933,0.141,0.002,0.181,0.034,0.217,1.44,0
13.94,0.949,0.161,0.001,0.137,0.029,0.167,1.438,0
14.13,0.934,0.142,0.002,0.183,0.031,0.217,1.439,0
13.34,0.948,0.12,0.002,0.141,0.031,0.174,1.448,0
13.605,0.944,0.142,0.002,0.15,0.034,0.186,1.424,0
13.735,0.941,0.131,0.002,0.159,0.034,0.195,1.432,0
13.41,0.932,0.164,0.002,0.186,0.036,0.223,1.444,0
13.415,0.947,0.156,0.002,0.143,0.032,0.177,1.439,0
13.495,0.943,0.106,0.002,0.155,0.037,0.194,1.443,0
13.34,0.945,0.118,0.002,0.152,0.036,0.189,1.448,0
13.76,0.938,0.176,0.002,0.165,0.04,0.207,1.476,0
13.21,0.939,0.145,0.002,0.174,0.039,0.215,1.472,0
13.47,0.946,0.119,0.002,0.142,0.032,0.175,1.453,0
13.52,0.944,0.118,0.002,0.151,0.039,0.192,1.468,0
13.51,0.941,0.19,0.002,0.158,0.033,0.193,1.476,0
13.315,0.937,0.139,0.002,0.172,0.04,0.213,1.48,0
12.79,0.95,0.129,0.002,0.137,0.036,0.175,1.507,0
13.58,0.946,0.154,0.002,0.144,0.032,0.178,1.513,0
13.87,0.953,0.171,0.002,0.137,0.032,0.171,1.543,0
13.035,0.942,0.161,0.002,0.151,0.035,0.188,1.537,0
13.045,0.949,0.105,0.002,0.134,0.033,0.169,1.544,0
14.13,0.946,0.132,0.002,0.143,0.036,0.181,1.453,0
13.535,0.935,0.173,0.002,0.174,0.039,0.215,1.4,0
13.29,0.942,0.156,0.002,0.153,0.034,0.188,1.402,0
13.295,0.945,0.12,0.002,0.155,0.035,0.192,1.405,0
13.105,0.954,0.14,0.002,0.126,0.032,0.16,1.41,0
13.635,0.951,0.136,0.002,0.139,0.034,0.175,1.453,0
13.58,0.948,0.101,0.002,0.143,0.037,0.181,1.435,0
14.06,0.939,0.132,0.002,0.158,0.033,0.193,1.427,0
13.21,0.953,0.122,0.001,0.136,0.033,0.17,1.442,0
13.715,0.938,0.182,0.002,0.166,0.037,0.205,1.443,0
13.285,0.948,0.17,0.002,0.134,0.033,0.169,1.441,0
12.85,0.942,0.115,0.002,0.15,0.033,0.185,1.443,0
13.175,0.939,0.138,0.002,0.168,0.036,0.206,1.447,0
13.13,0.934,0.126,0.002,0.175,0.038,0.215,1.443,0
13.445,0.952,0.158,0.002,0.134,0.034,0.169,1.473,0
12.925,0.946,0.135,0.002,0.15,0.037,0.188,1.457,0
13.745,0.946,0.132,0.001,0.145,0.03,0.177,1.482,0
13.495,0.934,0.13,0.002,0.174,0.035,0.211,1.465,0
12.895,0.937,0.118,0.002,0.16,0.038,0.199,1.489,0
13.44,0.952,0.108,0.002,0.13,0.033,0.164,1.523,0
13.825,0.955,0.121,0.002,0.122,0.031,0.155,1.551,0
13.685,0.943,0.13,0.002,0.16,0.034,0.195,1.563,0
13.51,0.948,0.145,0.002,0.142,0.033,0.177,1.552,0
13.35,0.929,0.134,0.002,0.185,0.039,0.225,1.523,0
13.455,0.948,0.166,0.002,0.151,0.035,0.189,1.449,0
13.335,0.95,0.161,0.001,0.135,0.027,0.164,1.487,0
13.515,0.952,0.144,0.002,0.125,0.032,0.159,1.486,0
13.765,0.956,0.15,0.001,0.131,0.03,0.162,1.478,0
13.13,0.945,0.154,0.002,0.158,0.035,0.195,1.48,0
13.84,0.935,0.143,0.002,0.175,0.04,0.216,1.45,0
13.56,0.952,0.144,0.002,0.132,0.033,0.166,1.438,0
12.955,0.944,0.142,0.002,0.155,0.035,0.191,1.44,0
13.16,0.945,0.144,0.002,0.155,0.037,0.193,1.433,0
13.13,0.949,0.151,0.002,0.137,0.034,0.172,1.445,0
12.675,0.953,0.148,0.002,0.127,0.032,0.161,1.432,0
12.87,0.948,0.121,0.002,0.145,0.033,0.179,1.437,0
12.955,0.947,0.152,0.002,0.133,0.035,0.169,1.451,0
13.145,0.948,0.149,0.001,0.145,0.028,0.174,1.448,0
12.715,0.929,0.143,0.002,0.204,0.04,0.246,1.436,0
12.94,0.946,0.131,0.002,0.145,0.031,0.179,1.457,0
12.975,0.956,0.141,0.001,0.117,0.025,0.144,1.463,0
12.955,0.943,0.165,0.002,0.163,0.032,0.197,1.488,0
13.305,0.943,0.154,0.002,0.158,0.034,0.194,1.49,0
13.245,0.953,0.163,0.002,0.136,0.031,0.169,1.524,0
13.285,0.944,0.138,0.001,0.148,0.029,0.178,1.536,0
13.435,0.959,0.126,0.001,0.114,0.027,0.142,1.549,0
12.99,0.937,0.169,0.002,0.171,0.039,0.212,1.566,0
12.99,0.95,0.158,0.001,0.137,0.038,0.176,1.443,0
13.255,0.952,0.092,0.001,0.13,0.031,0.163,1.414,0
13.265,0.957,0.152,0.002,0.122,0.027,0.15,1.413,0
12.515,0.953,0.131,0.002,0.132,0.027,0.16,1.41,0
12.825,0.93,0.152,0.002,0.179,0.042,0.223,1.416,0
13.775,0.936,0.139,0.002,0.177,0.035,0.213,1.424,0
12.995,0.952,0.171,0.002,0.137,0.034,0.173,1.434,0
13.25,0.943,0.153,0.002,0.146,0.033,0.181,1.431,0
13.475,0.929,0.146,0.001,0.19,0.036,0.228,1.435,0
13.415,0.946,0.146,0.002,0.144,0.031,0.177,1.429,0
12.875,0.961,0.135,0.002,0.114,0.029,0.145,1.443,0
13.045,0.952,0.117,0.001,0.131,0.028,0.16,1.453,0
13.155,0.951,0.09,0.002,0.134,0.033,0.168,1.445,0
12.395,0.938,0.162,0.002,0.173,0.031,0.206,1.446,0
13.085,0.946,0.129,0.002,0.141,0.031,0.174,1.473,0
13.16,0.951,0.144,0.001,0.131,0.031,0.163,1.485,0
12.305,0.954,0.133,0.001,0.12,0.028,0.149,1.482,0
12.785,0.949,0.139,0.001,0.143,0.03,0.175,1.483,0
12.79,0.954,0.144,0.002,0.12,0.03,0.152,1.513,0
12.8,0.944,0.129,0.002,0.154,0.032,0.188,1.529,0
12.59,0.949,0.127,0.002,0.147,0.034,0.183,1.546,0
12.47,0.954,0.137,0.001,0.126,0.029,0.157,1.548,0
12.695,0.943,0.137,0.002,0.157,0.033,0.191,1.538,0
13.325,0.946,0.151,0.002,0.148,0.033,0.182,1.493,0
12.77,0.951,0.111,0.001,0.131,0.03,0.163,1.427,0
12.87,0.944,0.125,0.001,0.139,0.028,0.168,1.41,0
12.7,0.941,0.142,0.002,0.16,0.038,0.2,1.406,0
12.13,0.947,0.181,0.002,0.141,0.031,0.173,1.408,0
13.49,0.943,0.181,0.001,0.148,0.027,0.177,1.418,0
12.765,0.948,0.18,0.001,0.139,0.027,0.168,1.421,0
13.26,0.955,0.101,0.001,0.124,0.028,0.153,1.435,0
12.56,0.951,0.141,0.001,0.126,0.032,0.159,1.429,0
13.02,0.945,0.132,0.002,0.143,0.03,0.175,1.424,0
12.535,0.944,0.143,0.001,0.15,0.03,0.181,1.427,0
13.235,0.954,0.173,0.001,0.128,0.029,0.158,1.424,0
12.69,0.952,0.124,0.002,0.133,0.034,0.168,1.428,0
12.555,0.96,0.145,0.001,0.111,0.028,0.14,1.442,0
12.68,0.955,0.114,0.001,0.121,0.029,0.151,1.432,0
12.775,0.948,0.156,0.002,0.148,0.031,0.18,1.441,0
12.39,0.958,0.14,0.001,0.118,0.024,0.144,1.449,0
12.795,0.952,0.102,0.002,0.132,0.036,0.17,1.479,0
12.1,0.945,0.139,0.002,0.145,0.035,0.182,1.507,0
13.185,0.938,0.153,0.002,0.162,0.03,0.194,1.509,0
12.565,0.954,0.125,0.001,0.126,0.029,0.156,1.544,0
12.555,0.945,0.145,0.001,0.149,0.031,0.181,1.543,0
12.78,0.948,0.127,0.002,0.159,0.029,0.19,1.54,0
12.69,0.952,0.144,0.002,0.134,0.029,0.165,1.544,0
12.975,0.952,0.156,0.001,0.135,0.026,0.162,1.426,0
12.81,0.963,0.141,0.001,0.101,0.03,0.132,1.428,0
12.125,0.948,0.124,0.001,0.149,0.032,0.182,1.432,0
12.16,0.945,0.131,0.002,0.141,0.034,0.176,1.43,0
12.355,0.945,0.148,0.001,0.152,0.032,0.185,1.445,0
12.28,0.95,0.152,0.001,0.126,0.029,0.156,1.442,0
12.7,0.944,0.107,0.001,0.147,0.031,0.18,1.442,0
12.245,0.957,0.138,0.002,0.118,0.03,0.15,1.42,0
12.915,0.946,0.122,0.002,0.145,0.028,0.175,1.436,0
11.98,0.949,0.179,0.001,0.136,0.03,0.168,1.442,0
12.525,0.954,0.149,0.001,0.126,0.03,0.158,1.457,0
12.43,0.958,0.177,0.002,0.123,0.028,0.152,1.444,0
12.285,0.954,0.12,0.002,0.124,0.029,0.155,1.439,0
12.725,0.951,0.104,0.002,0.138,0.036,0.175,1.465,0
12.67,0.956,0.167,0.001,0.122,0.023,0.146,1.454,0
12.885,0.957,0.144,0.001,0.117,0.028,0.146,1.472,0
12.925,0.959,0.184,0.001,0.115,0.028,0.144,1.479,0
12.415,0.958,0.149,0.001,0.112,0.027,0.141,1.497,0
12.685,0.936,0.144,0.002,0.178,0.033,0.212,1.514,0
12.19,0.956,0.17,0.001,0.117,0.027,0.146,1.513,0
12.67,0.942,0.142,0.001,0.166,0.035,0.202,1.523,0
12.205,0.949,0.16,0.002,0.134,0.03,0.166,1.541,0
12.32,0.956,0.161,0.001,0.123,0.03,0.154,1.541,0
12.61,0.955,0.138,0.001,0.123,0.028,0.152,1.477,0
12.31,0.957,0.127,0.001,0.116,0.03,0.147,1.415,0
12.585,0.952,0.164,0.001,0.129,0.03,0.161,1.402,0
13.04,0.953,0.133,0.001,0.127,0.025,0.154,1.408,0
12.5,0.952,0.144,0.001,0.13,0.03,0.16,1.411,0
12.66,0.95,0.152,0.001,0.133,0.028,0.162,1.408,0
12.895,0.954,0.138,0.001,0.126,0.026,0.153,1.401,0
12.295,0.953,0.161,0.001,0.134,0.029,0.165,1.401,0
12.665,0.953,0.132,0.001,0.138,0.028,0.168,1.411,0
12.42,0.955,0.143,0.002,0.133,0.028,0.163,1.42,0
12.56,0.953,0.147,0.001,0.124,0.028,0.153,1.41,0
12.125,0.951,0.135,0.002,0.129,0.033,0.163,1.451,0
12.45,0.941,0.125,0.002,0.161,0.034,0.196,1.451,0
12.175,0.958,0.14,0.001,0.114,0.027,0.142,1.456,0
12.135,0.952,0.176,0.001,0.123,0.03,0.154,1.46,0
12.305,0.946,0.132,0.001,0.145,0.029,0.176,1.475,0
11.96,0.958,0.179,0.001,0.116,0.026,0.143,1.462,0
12.1,0.962,0.17,0.001,0.111,0.025,0.137,1.466,0
11.95,0.946,0.145,0.001,0.143,0.031,0.175,1.483,0
11.95,0.962,0.158,0.001,0.111,0.027,0.139,1.509,0
11.72,0.958,0.155,0.001,0.111,0.027,0.14,1.533,0
12.51,0.952,0.122,0.001,0.127,0.026,0.154,1.561,0
12.345,0.958,0.142,0.001,0.114,0.022,0.138,1.655,0
12.5,0.962,0.151,0.001,0.108,0.024,0.133,1.651,0
12.075,0.96,0.153,0.001,0.108,0.026,0.136,1.442,0
12.56,0.95,0.14,0.001,0.145,0.027,0.173,1.449,0
12.27,0.958,0.124,0.001,0.121,0.025,0.148,1.463,0
12.53,0.961,0.124,0.001,0.114,0.026,0.141,1.446,0
12.485,0.958,0.124,0.001,0.109,0.028,0.137,1.463,0
11.9,0.955,0.126,0.001,0.128,0.03,0.16,1.442,0
12.21,0.956,0.121,0.001,0.125,0.03,0.156,1.463,0
12.025,0.952,0.104,0.001,0.136,0.033,0.17,1.48,0
11.99,0.955,0.16,0.001,0.122,0.026,0.149,1.48,0
11.775,0.965,0.138,0.001,0.104,0.027,0.133,1.481,0
12.79,0.952,0.153,0.001,0.122,0.028,0.151,1.493,0
12.78,0.955,0.148,0.001,0.122,0.027,0.151,1.48,0
12.3,0.96,0.12,0.001,0.11,0.027,0.138,1.517,0
12.335,0.963,0.121,0.001,0.104,0.027,0.131,1.527,0
12.455,0.96,0.138,0.001,0.109,0.024,0.134,1.519,0
12.72,0.96,0.161,0.001,0.114,0.025,0.14,1.525,0
12.195,0.95,0.119,0.001,0.133,0.031,0.166,1.514,0
12.605,0.95,0.162,0.001,0.131,0.028,0.161,1.526,0
12.865,0.96,0.164,0.001,0.108,0.024,0.133,1.609,0
11.645,0.952,0.144,0.001,0.133,0.029,0.164,1.624,0
11.735,0.95,0.128,0.001,0.139,0.03,0.17,1.658,0
12.11,0.958,0.136,0.001,0.111,0.021,0.133,1.665,0
12.175,0.962,0.171,0.001,0.104,0.021,0.126,1.664,0
11.7,0.955,0.151,0.001,0.122,0.03,0.153,1.484,0
11.98,0.951,0.119,0.001,0.125,0.026,0.153,1.412,0
12.29,0.941,0.147,0.001,0.156,0.028,0.185,1.407,0
12.24,0.953,0.14,0.001,0.129,0.027,0.157,1.407,0
12.3,0.961,0.161,0.001,0.106,0.022,0.129,1.434,0
12.535,0.965,0.156,0.001,0.096,0.023,0.12,1.413,0
12.455,0.959,0.139,0.001,0.11,0.024,0.135,1.415,0
12.665,0.961,0.153,0.001,0.11,0.024,0.135,1.429,0
12.77,0.956,0.163,0.001,0.116,0.027,0.144,1.438,0
13.035,0.954,0.148,0.001,0.12,0.026,0.147,1.436,0
12.085,0.956,0.164,0.001,0.12,0.026,0.148,1.432,0
12.875,0.955,0.172,0.001,0.125,0.028,0.155,1.436,0
13.045,0.956,0.17,0.001,0.118,0.025,0.144,1.435,0
12.895,0.955,0.158,0.001,0.123,0.026,0.15,1.438,0
12.735,0.955,0.161,0.001,0.117,0.028,0.147,1.456,0
12.995,0.958,0.149,0.001,0.118,0.026,0.145,1.467,0
12.245,0.959,0.093,0.001,0.12,0.029,0.151,1.465,0
12.255,0.955,0.126,0.001,0.117,0.026,0.144,1.5,0
12.435,0.958,0.128,0.001,0.11,0.025,0.137,1.501,0
12.045,0.952,0.152,0.001,0.131,0.03,0.163,1.536,0
12,0.96,0.138,0.001,0.11,0.026,0.137,1.54,0
11.735,0.962,0.138,0.001,0.104,0.026,0.131,1.537,0
12.05,0.96,0.167,0.001,0.109,0.028,0.138,1.537,0
12.41,0.961,0.155,0.001,0.105,0.024,0.13,1.505,0
12.13,0.952,0.159,0.001,0.124,0.029,0.154,1.411,0
12.225,0.963,0.119,0.001,0.107,0.027,0.135,1.407,0
12.21,0.959,0.14,0.001,0.112,0.025,0.139,1.407,0
12.505,0.955,0.148,0.001,0.119,0.028,0.148,1.408,0
12.43,0.961,0.134,0.001,0.112,0.026,0.139,1.415,0
12.695,0.954,0.136,0.001,0.123,0.027,0.151,1.405,0
12.475,0.951,0.155,0.001,0.123,0.029,0.153,1.406,0
12.485,0.95,0.148,0.001,0.141,0.027,0.17,1.404,0
12.435,0.961,0.118,0.001,0.105,0.024,0.13,1.4,0
11.935,0.964,0.146,0.001,0.099,0.022,0.122,1.417,0
12.125,0.965,0.122,0.001,0.102,0.023,0.126,1.42,0
12.1,0.961,0.124,0.001,0.11,0.023,0.135,1.419,0
12.52,0.96,0.147,0.001,0.11,0.025,0.136,1.416,0
11.55,0.956,0.155,0.001,0.114,0.024,0.138,1.428,0
12.3,0.955,0.131,0.001,0.123,0.024,0.148,1.431,0
12.11,0.96,0.132,0.001,0.107,0.024,0.132,1.444,0
11.91,0.961,0.164,0.001,0.104,0.026,0.131,1.443,0
12.36,0.959,0.13,0.001,0.113,0.023,0.138,1.463,0
11.98,0.957,0.167,0.001,0.117,0.028,0.146,1.459,0
12.525,0.962,0.139,0.001,0.106,0.024,0.131,1.486,0
11.87,0.955,0.13,0.001,0.117,0.024,0.143,1.519,0
11.655,0.958,0.145,0.001,0.108,0.024,0.133,1.547,0
11.67,0.942,0.153,0.001,0.157,0.031,0.19,1.533,0
12.675,0.957,0.15,0.001,0.116,0.023,0.14,1.436,0
11.855,0.963,0.134,0.001,0.099,0.024,0.124,1.42,0
12.24,0.966,0.142,0.001,0.097,0.023,0.12,1.423,0
11.81,0.966,0.173,0.001,0.095,0.021,0.117,1.419,0
12.215,0.96,0.128,0.001,0.108,0.022,0.131,1.42,0
12.075,0.964,0.129,0.001,0.105,0.023,0.128,1.417,0
12.17,0.951,0.163,0.001,0.136,0.029,0.167,1.425,0
12.845,0.955,0.123,0.001,0.126,0.027,0.154,1.422,0
12.56,0.96,0.171,0.001,0.104,0.024,0.13,1.416,0
12.795,0.96,0.165,0.001,0.107,0.025,0.133,1.436,0
12.645,0.962,0.153,0.001,0.113,0.023,0.137,1.436,0
12.98,0.965,0.178,0.001,0.099,0.021,0.121,1.44,0
12.38,0.965,0.161,0.001,0.099,0.022,0.122,1.437,0
12.505,0.955,0.147,0.001,0.121,0.026,0.148,1.449,0
12.175,0.951,0.17,0.001,0.13,0.027,0.158,1.463,0
12.28,0.941,0.17,0.001,0.17,0.032,0.203,1.466,0
12.15,0.958,0.124,0.001,0.121,0.025,0.147,1.464,0
11.675,0.96,0.138,0.001,0.106,0.024,0.131,1.482,0
12.085,0.956,0.136,0.001,0.119,0.025,0.145,1.506,0
12.735,0.958,0.14,0.001,0.114,0.023,0.138,1.527,0
12.66,0.954,0.149,0.001,0.123,0.027,0.151,1.537,0
12.54,0.96,0.147,0.001,0.106,0.022,0.128,1.539,0
12.25,0.956,0.179,0.001,0.119,0.024,0.143,1.54,0
12.18,0.96,0.172,0.001,0.112,0.023,0.135,1.478,0
12.59,0.957,0.16,0.001,0.116,0.023,0.14,1.404,0
12.17,0.962,0.126,0.001,0.106,0.023,0.13,1.407,0
12.27,0.95,0.158,0.001,0.135,0.024,0.16,1.409,0
12.11,0.959,0.119,0.001,0.114,0.026,0.14,1.414,0
12.14,0.958,0.129,0.001,0.114,0.024,0.139,1.415,0
11.82,0.955,0.135,0.001,0.119,0.026,0.146,1.413,0
12.17,0.964,0.114,0.001,0.102,0.02,0.123,1.408,0
11.85,0.95,0.148,0.001,0.142,0.026,0.169,1.421,0
12.365,0.951,0.114,0.001,0.134,0.025,0.16,1.42,0
12.145,0.963,0.136,0.001,0.106,0.021,0.128,1.431,0
12.205,0.962,0.133,0.001,0.103,0.02,0.123,1.419,0
12.38,0.953,0.141,0.001,0.13,0.019,0.149,1.425,0
12.07,0.96,0.142,0.001,0.108,0.024,0.133,1.425,0
12.205,0.965,0.091,0.001,0.1,0.02,0.121,1.424,0
11.715,0.963,0.178,0.001,0.101,0.024,0.127,1.438,0
12.275,0.966,0.119,0.001,0.095,0.021,0.116,1.425,0
12.695,0.958,0.158,0.001,0.112,0.026,0.139,1.498,0
11.84,0.951,0.161,0.001,0.135,0.025,0.161,1.48,0
12.03,0.967,0.164,0.001,0.093,0.02,0.113,1.509,0
12.23,0.969,0.142,0.001,0.084,0.019,0.104,1.544,0
12.255,0.958,0.136,0.001,0.118,0.027,0.146,1.543,0
12.665,0.956,0.131,0.001,0.117,0.023,0.142,1.535,0
12.075,0.965,0.131,0.001,0.095,0.019,0.115,1.533,0
11.75,0.968,0.137,0.001,0.092,0.022,0.114,1.41,0
11.7,0.958,0.182,0.001,0.11,0.025,0.136,1.42,0
12.175,0.966,0.113,0.001,0.099,0.025,0.124,1.427,0
11.755,0.961,0.134,0.001,0.104,0.023,0.128,1.423,0
11.53,0.96,0.152,0.001,0.106,0.022,0.129,1.419,0
11.67,0.963,0.139,0.001,0.102,0.022,0.125,1.404,0
12.06,0.961,0.171,0.001,0.105,0.024,0.13,1.415,0
11.83,0.964,0.128,0.001,0.096,0.021,0.118,1.421,0
12.05,0.958,0.131,0.001,0.112,0.027,0.14,1.437,0
12.38,0.959,0.151,0.001,0.11,0.026,0.137,1.439,0
12.015,0.957,0.136,0.001,0.116,0.023,0.139,1.439,0
11.985,0.958,0.126,0.001,0.113,0.022,0.136,1.441,0
11.665,0.96,0.151,0.001,0.109,0.02,0.13,1.447,0
12.615,0.958,0.118,0.001,0.116,0.023,0.14,1.447,0
12.1,0.946,0.149,0.001,0.141,0.032,0.175,1.448,0
11.73,0.964,0.164,0.001,0.097,0.022,0.12,1.461,0
11.5,0.961,0.15,0.001,0.103,0.024,0.127,1.476,0
11.4,0.965,0.142,0.001,0.099,0.02,0.119,1.491,0
11.76,0.964,0.148,0.001,0.102,0.022,0.124,1.492,0
12.055,0.96,0.118,0.001,0.104,0.021,0.126,1.489,0
12.005,0.964,0.153,0.001,0.101,0.023,0.125,1.518,0
11.78,0.964,0.143,0.001,0.099,0.023,0.122,1.575,0
11.695,0.962,0.156,0.001,0.101,0.019,0.121,1.677,0
11.85,0.962,0.135,0.001,0.1,0.022,0.123,1.527,0
11.405,0.965,0.149,0.001,0.092,0.022,0.115,1.43,0
12.265,0.97,0.136,0.001,0.088,0.019,0.107,1.42,0
11.58,0.961,0.127,0.001,0.105,0.025,0.131,1.433,0
12.175,0.956,0.161,0.001,0.126,0.022,0.15,1.439,0
11.575,0.963,0.154,0.001,0.096,0.022,0.119,1.422,0
11.46,0.964,0.129,0.001,0.1,0.023,0.123,1.441,0
11.855,0.961,0.115,0.001,0.112,0.021,0.134,1.451,0
11.395,0.963,0.144,0.001,0.101,0.025,0.127,1.445,0
11.435,0.969,0.11,0.001,0.087,0.02,0.108,1.441,0
11.765,0.964,0.129,0.001,0.101,0.021,0.123,1.454,0
11.95,0.965,0.129,0.001,0.104,0.023,0.128,1.503,0
11.86,0.963,0.171,0.001,0.095,0.021,0.117,1.493,0
11.745,0.953,0.177,0.001,0.125,0.022,0.147,1.513,0
12.255,0.963,0.134,0.001,0.096,0.021,0.118,1.499,0
12.62,0.963,0.145,0.001,0.102,0.021,0.124,1.534,0
11.91,0.964,0.134,0.001,0.097,0.023,0.12,1.549,0
12.025,0.971,0.138,0.001,0.082,0.019,0.102,1.585,0
11.81,0.962,0.155,0.001,0.103,0.023,0.127,1.611,0
12.04,0.949,0.108,0.001,0.145,0.026,0.172,1.651,0
11.985,0.963,0.137,0.001,0.101,0.023,0.125,1.704,0
12.18,0.959,0.146,0.001,0.108,0.022,0.131,1.68,0
12.405,0.956,0.171,0.001,0.124,0.023,0.148,1.674,0
11.93,0.961,0.12,0.001,0.106,0.021,0.128,1.625,0
11.875,0.957,0.145,0.001,0.115,0.021,0.136,1.422,0
12.11,0.963,0.133,0.001,0.104,0.021,0.127,1.426,0
11.785,0.966,0.136,0.001,0.094,0.022,0.117,1.422,0
11.46,0.963,0.123,0.001,0.099,0.023,0.122,1.413,0
12.19,0.963,0.143,0.001,0.106,0.022,0.129,1.425,0
12.43,0.968,0.156,0.001,0.094,0.019,0.114,1.425,0
11.775,0.961,0.118,0.001,0.099,0.023,0.122,1.443,0
11.755,0.972,0.139,0.001,0.087,0.019,0.107,1.443,0
11.445,0.969,0.148,0.001,0.09,0.022,0.112,1.434,0
11.825,0.964,0.139,0.001,0.096,0.02,0.117,1.447,0
11.74,0.964,0.17,0.001,0.095,0.02,0.115,1.439,0
11.735,0.968,0.125,0.001,0.091,0.02,0.111,1.454,0
12.08,0.952,0.164,0.001,0.127,0.021,0.149,1.451,0
11.71,0.96,0.129,0.001,0.104,0.022,0.127,1.459,0
11.44,0.967,0.13,0.001,0.1,0.021,0.122,1.458,0
11.575,0.965,0.154,0.001,0.095,0.021,0.117,1.467,0
11.885,0.96,0.157,0.001,0.108,0.022,0.131,1.464,0
11.675,0.96,0.101,0.001,0.104,0.021,0.126,1.467,0
11.95,0.968,0.151,0.001,0.09,0.021,0.112,1.483,0
11.77,0.967,0.124,0.001,0.09,0.018,0.108,1.514,0
11.92,0.964,0.143,0.001,0.093,0.02,0.114,1.533,0
11.63,0.964,0.131,0.001,0.096,0.021,0.117,1.543,0
11.24,0.966,0.171,0.001,0.091,0.019,0.112,1.544,0
11.86,0.967,0.178,0.001,0.091,0.018,0.111,1.442,0
12.12,0.969,0.144,0.001,0.081,0.018,0.1,1.422,0
11.53,0.967,0.145,0.001,0.09,0.02,0.111,1.428,0
11.77,0.965,0.149,0.001,0.094,0.023,0.118,1.41,0
12.105,0.968,0.157,0.001,0.087,0.021,0.109,1.43,0
12.66,0.962,0.154,0.001,0.102,0.02,0.123,1.432,0
11.63,0.962,0.139,0.001,0.106,0.022,0.13,1.436,0
11.6,0.97,0.149,0.001,0.085,0.019,0.105,1.417,0
11.945,0.966,0.147,0.001,0.096,0.021,0.118,1.423,0
11.775,0.968,0.14,0.001,0.092,0.019,0.112,1.443,0
12.2,0.971,0.127,0.001,0.081,0.02,0.102,1.437,0
12.135,0.969,0.15,0.001,0.084,0.018,0.103,1.44,0
11.145,0.962,0.118,0.001,0.097,0.019,0.117,1.438,0
11.345,0.962,0.141,0.001,0.1,0.024,0.124,1.445,0
11.89,0.957,0.123,0.001,0.112,0.024,0.137,1.468,0
11.42,0.966,0.13,0.001,0.087,0.019,0.106,1.468,0
11.435,0.965,0.139,0.001,0.097,0.023,0.12,1.474,0
11.585,0.97,0.125,0.001,0.09,0.019,0.11,1.483,0
10.91,0.965,0.117,0.001,0.096,0.021,0.117,1.5,0
11.025,0.962,0.126,0.001,0.097,0.022,0.12,1.53,0
11.61,0.968,0.151,0.001,0.09,0.017,0.108,1.544,0
11.05,0.962,0.155,0.001,0.097,0.02,0.117,1.54,0
11.415,0.96,0.176,0.001,0.108,0.024,0.133,1.538,0
11.295,0.965,0.123,0.001,0.096,0.02,0.116,1.495,0
11.715,0.97,0.16,0.001,0.083,0.02,0.103,1.416,0
11.44,0.975,0.19,0.001,0.072,0.017,0.09,1.42,0
11.405,0.966,0.142,0.001,0.092,0.018,0.111,1.422,0
11.295,0.97,0.109,0.001,0.081,0.018,0.1,1.416,0
11.45,0.962,0.129,0.001,0.104,0.021,0.126,1.414,0
11.88,0.964,0.121,0.001,0.097,0.021,0.119,1.419,0
11.32,0.968,0.138,0.001,0.089,0.023,0.112,1.419,0
11.01,0.968,0.118,0.001,0.082,0.017,0.099,1.418,0
11.195,0.969,0.132,0.001,0.085,0.019,0.105,1.42,0
12.005,0.968,0.16,0.001,0.086,0.02,0.107,1.421,0
11.145,0.952,0.2,0.001,0.139,0.023,0.163,1.42,0
11.42,0.953,0.143,0.001,0.122,0.021,0.143,1.421,0
11.335,0.969,0.141,0.001,0.082,0.018,0.1,1.439,0
