mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
15.82,0.904,0.124,0.004,0.271,0.054,0.329,1.404,0
15.885,0.888,0.134,0.004,0.308,0.063,0.375,1.407,0
15.795,0.872,0.136,0.004,0.346,0.063,0.413,1.398,0
15.895,0.874,0.118,0.004,0.324,0.069,0.397,1.402,0
15.41,0.887,0.12,0.005,0.317,0.073,0.395,1.414,0
15.635,0.864,0.133,0.004,0.372,0.073,0.45,1.438,0
16.05,0.878,0.151,0.004,0.324,0.061,0.389,1.442,0
15.555,0.879,0.154,0.004,0.322,0.065,0.391,1.423,0
15.57,0.879,0.167,0.004,0.308,0.063,0.375,1.439,0
15.85,0.882,0.149,0.004,0.33,0.062,0.396,1.44,0
15.47,0.889,0.121,0.003,0.29,0.062,0.355,1.461,0
15.8,0.907,0.128,0.003,0.26,0.059,0.323,1.469,0
15.64,0.904,0.177,0.004,0.269,0.061,0.334,1.479,0
15.5,0.888,0.152,0.005,0.3,0.061,0.366,1.509,0
15.62,0.893,0.157,0.004,0.289,0.058,0.351,1.529,0
15.965,0.895,0.136,0.004,0.299,0.059,0.363,1.545,0
15.78,0.886,0.141,0.004,0.293,0.063,0.36,1.544,0
16.275,0.903,0.128,0.004,0.276,0.056,0.335,1.546,0
15.555,0.898,0.12,0.004,0.289,0.059,0.352,1.432,0
15.68,0.89,0.104,0.004,0.322,0.06,0.386,1.409,0
15.77,0.904,0.157,0.004,0.27,0.06,0.334,1.406,0
15.92,0.878,0.145,0.004,0.328,0.068,0.4,1.406,0
15.885,0.89,0.125,0.004,0.296,0.064,0.364,1.415,0
15.25,0.889,0.13,0.004,0.298,0.063,0.365,1.419,0
15.925,0.884,0.185,0.004,0.294,0.057,0.355,1.415,0
15.795,0.892,0.125,0.004,0.294,0.061,0.359,1.421,0
15.8,0.891,0.144,0.004,0.284,0.055,0.343,1.436,0
15.405,0.886,0.149,0.004,0.317,0.058,0.379,1.421,0
15.415,0.901,0.15,0.003,0.256,0.053,0.312,1.431,0
15.595,0.907,0.154,0.004,0.253,0.061,0.317,1.443,0
15.085,0.886,0.172,0.004,0.314,0.067,0.385,1.441,0
15.35,0.903,0.162,0.004,0.26,0.059,0.323,1.446,0
15.215,0.895,0.106,0.004,0.266,0.063,0.334,1.45,0
15.06,0.904,0.17,0.004,0.27,0.061,0.334,1.467,0
15.18,0.903,0.143,0.004,0.273,0.062,0.339,1.477,0
15.11,0.894,0.103,0.004,0.3,0.06,0.364,1.447,0
15.075,0.896,0.163,0.004,0.279,0.064,0.347,1.456,0
15.695,0.899,0.137,0.004,0.266,0.059,0.329,1.484,0
15.505,0.896,0.158,0.004,0.284,0.049,0.337,1.503,0
15.155,0.901,0.112,0.004,0.267,0.068,0.339,1.537,0
16.05,0.899,0.19,0.003,0.283,0.054,0.341,1.54,0
15.455,0.897,0.13,0.004,0.288,0.058,0.35,1.462,0
15.045,0.904,0.156,0.004,0.266,0.057,0.327,1.394,0
15.94,0.886,0.131,0.004,0.294,0.057,0.355,1.401,0
15.915,0.895,0.15,0.003,0.274,0.056,0.333,1.391,0
15.33,0.897,0.16,0.004,0.275,0.061,0.34,1.401,0
15.8,0.893,0.15,0.004,0.286,0.061,0.351,1.428,0
15.155,0.913,0.16,0.004,0.253,0.057,0.314,1.417,0
15.25,0.908,0.165,0.003,0.25,0.052,0.305,1.423,0
15.2,0.914,0.155,0.003,0.236,0.049,0.288,1.427,0
15.165,0.898,0.134,0.004,0.292,0.062,0.357,1.423,0
15.985,0.902,0.092,0.004,0.268,0.058,0.33,1.414,0
15.405,0.898,0.173,0.004,0.281,0.053,0.338,1.419,0
15.485,0.913,0.151,0.003,0.236,0.053,0.293,1.426,0
15.51,0.891,0.161,0.004,0.288,0.062,0.353,1.441,0
15.7,0.899,0.12,0.004,0.274,0.058,0.336,1.453,0
15.115,0.905,0.151,0.004,0.254,0.06,0.318,1.45,0
15.375,0.909,0.125,0.004,0.245,0.051,0.299,1.461,0
15.065,0.912,0.136,0.003,0.246,0.051,0.301,1.493,0
15.725,0.9,0.166,0.004,0.268,0.06,0.332,1.504,0
15.605,0.899,0.178,0.004,0.271,0.055,0.329,1.518,0
15.275,0.896,0.137,0.004,0.278,0.054,0.336,1.533,0
15.645,0.907,0.131,0.004,0.255,0.055,0.314,1.542,0
15.01,0.894,0.158,0.004,0.308,0.065,0.377,1.532,0
15.21,0.914,0.142,0.003,0.24,0.046,0.289,1.514,0
15.095,0.911,0.157,0.003,0.239,0.052,0.295,1.399,0
15.45,0.903,0.159,0.003,0.266,0.06,0.33,1.399,0
15.415,0.889,0.159,0.003,0.279,0.057,0.339,1.42,0
15.105,0.911,0.116,0.003,0.245,0.05,0.297,1.426,0
15.18,0.899,0.165,0.004,0.285,0.058,0.346,1.413,0
15.295,0.923,0.162,0.003,0.215,0.05,0.269,1.414,0
14.955,0.901,0.101,0.003,0.267,0.052,0.321,1.431,0
15.215,0.912,0.157,0.004,0.249,0.052,0.305,1.431,0
15.37,0.908,0.145,0.003,0.243,0.046,0.292,1.433,0
15.315,0.905,0.144,0.004,0.25,0.053,0.306,1.417,0
15.32,0.901,0.142,0.003,0.266,0.057,0.326,1.416,0
15.045,0.894,0.147,0.004,0.276,0.062,0.341,1.418,0
14.915,0.902,0.096,0.003,0.255,0.05,0.308,1.422,0
14.82,0.923,0.136,0.003,0.203,0.05,0.256,1.445,0
14.61,0.904,0.122,0.003,0.248,0.056,0.307,1.434,0
14.835,0.918,0.142,0.004,0.232,0.053,0.288,1.432,0
14.55,0.907,0.218,0.004,0.261,0.052,0.316,1.44,0
14.585,0.908,0.152,0.003,0.256,0.058,0.317,1.449,0
15.14,0.918,0.119,0.003,0.227,0.049,0.279,1.466,0
14.815,0.921,0.192,0.003,0.222,0.053,0.278,1.492,0
14.985,0.887,0.178,0.004,0.295,0.056,0.355,1.534,0
14.815,0.898,0.147,0.004,0.268,0.055,0.327,1.602,0
15.115,0.915,0.13,0.003,0.246,0.048,0.297,1.564,0
14.965,0.915,0.113,0.003,0.237,0.051,0.292,1.461,0
14.77,0.912,0.101,0.003,0.233,0.05,0.286,1.409,0
15.29,0.908,0.141,0.003,0.249,0.053,0.306,1.412,0
14.715,0.897,0.139,0.003,0.267,0.053,0.323,1.409,0
15.33,0.902,0.13,0.003,0.272,0.05,0.325,1.41,0
14.975,0.902,0.135,0.003,0.262,0.057,0.323,1.418,0
14.77,0.919,0.124,0.003,0.228,0.052,0.283,1.414,0
14.945,0.916,0.201,0.003,0.236,0.045,0.284,1.413,0
15.21,0.906,0.163,0.003,0.247,0.049,0.298,1.422,0
14.61,0.916,0.098,0.003,0.229,0.051,0.284,1.427,0
14.49,0.903,0.153,0.003,0.261,0.051,0.315,1.431,0
14.935,0.903,0.146,0.003,0.265,0.055,0.324,1.441,0
14.79,0.909,0.155,0.004,0.229,0.05,0.283,1.441,0
14.95,0.909,0.146,0.003,0.242,0.054,0.299,1.438,0
14.77,0.921,0.149,0.003,0.217,0.048,0.268,1.457,0
14.855,0.904,0.153,0.003,0.253,0.052,0.308,1.456,0
14.73,0.909,0.107,0.003,0.238,0.053,0.295,1.474,0
14.98,0.91,0.171,0.003,0.233,0.052,0.288,1.463,0
15.11,0.901,0.123,0.003,0.262,0.055,0.32,1.496,0
14.98,0.895,0.135,0.003,0.295,0.056,0.354,1.524,0
14.74,0.904,0.172,0.003,0.26,0.053,0.316,1.539,0
15.445,0.927,0.114,0.003,0.206,0.042,0.25,1.538,0
14.755,0.91,0.137,0.003,0.243,0.05,0.296,1.544,0
13.935,0.926,0.129,0.003,0.208,0.045,0.256,1.492,0
14.745,0.92,0.13,0.003,0.217,0.041,0.262,1.395,0
14.115,0.917,0.17,0.003,0.233,0.058,0.294,1.393,0
14.7,0.917,0.108,0.003,0.229,0.046,0.278,1.402,0
15.085,0.907,0.139,0.003,0.262,0.051,0.315,1.41,0
14.585,0.921,0.195,0.003,0.209,0.051,0.262,1.404,0
